id,title,slug,keyword,secondary_keywords,search_intent,content_type,job_role,industry,search_volume_score,competition_score,virality_score,recency_score,emotional_intensity_score,monetization_intent_score,priority_score,angle_type,content_goal,tone_style,persona_id,persona_name,status,article_generated,uploaded,last_updated,notes
R001,Why no one is hearing back from job applications,why-am-i-not-hearing-back-from-job-applications,why am i not hearing back from job applications,applied to 100 jobs no response|no one replies to my job applications|application black hole 2026|why no callbacks from jobs,struggle,insights,,,8,7,7,8,9,7,8.1,contrarian,authority,direct,P06,Marcus — Contrarian Career Coach,completed,yes,yes,2026-04-27,Retrofitted from launch piece. Original was JE/editorial voice; rewritten in Marcus voice — popular-opinion-then-counter. Anchor of the insights cluster.
R002,Why entry-level jobs all require experience (and what to do about it),entry-level-jobs-require-experience-why,entry level jobs require experience why,no entry level jobs anymore|how to get hired with no experience|why does entry level need 3 years|entry level paradox,struggle,insights,,,7,5,7,7,9,5,7.6,brutal-truth,educate,direct,P19,Ellie — University Career Counselor,completed,yes,yes,2026-04-27,Hits parents-and-students angle. Pairs with R006.
R003,Is AI actually replacing junior developers? What the hiring data says,is-ai-replacing-junior-developers,is ai replacing junior developers,ai junior dev jobs|are entry level coding jobs gone|github copilot junior engineers|junior swe market 2026,trend,trends,Software Engineer,Tech,9,7,8,10,9,5,8.4,analytical,authority,professional,P03,Priya — Data-Driven Analyst,completed,yes,yes,2026-04-27,Lead-tier piece. Highest priority in the trends cluster.
R004,Ghost jobs: how to spot a posting that isn't actually hiring,ghost-jobs-how-to-spot-them,ghost jobs how to spot them,fake job postings|are companies actually hiring|why are job posts up so long|ghost listings,reality,insights,,,7,5,7,9,7,5,7.4,brutal-truth,educate,direct,P02,Devon — In-House Recruiter,completed,yes,yes,2026-04-27,Insider recruiter perspective. Counters the dominant narrative.
R005,How to get past the ATS without playing keyword games,how-to-get-past-the-ats,how to get past the ats,ats resume tips 2026|ats myths|will my resume be read|ats keyword stuffing,how-to,guides,,,9,9,6,7,6,7,7.3,contrarian,convert,direct,P36,Jin — Resume Writer,completed,yes,yes,2026-04-27,Anti-myth take. Resume writer voice — quotes a bullet then rewrites.
R006,Why it's hard to get hired as a software engineer right now,why-is-it-hard-to-get-hired-as-a-software-engineer,why is it hard to get hired as a software engineer,software engineer jobs 2026|are tech jobs declining|swe hiring slowdown|junior engineer can't find job,struggle,jobs,Software Engineer,Tech,7,6,7,9,8,7,7.7,brutal-truth,authority,direct,P04,Ben — Burnt-Out Senior IC,completed,yes,yes,2026-04-27,Voice from the inside. Counterweight to R003 — lived experience vs data.
R007,Job search depression is real. Here's what got me through 9 months of it,job-search-depression-what-to-do,job search depression what to do,how to deal with constant rejection job hunt|i hate job searching|why job searching feels broken|how to keep going job hunt,emotional,insights,,,7,5,8,6,10,4,7.4,storytelling,viral,emotional,P31,Adrian — Long-Term Unemployed,completed,yes,yes,2026-04-27,Highest emotional intensity in the queue. Voice piece — first person.
R008,What recruiters and HR actually look at on a resume in 2026,what-recruiters-actually-look-at-on-a-resume,what recruiters actually look at on a resume,resume tips 2026|how recruiters scan resumes|what to put on a resume|resume mistakes 2026,how-to,insights,,,8,7,6,7,5,8,7.0,analytical,convert,professional,P28,Bea — HR Director,completed,yes,yes,2026-04-27,HR Director angle — calmer than recruiter voice. Conversion-strong.
R009,How to explain an employment gap on your resume (without lying),how-to-explain-employment-gap-on-resume,how to explain employment gap on resume,resume gap explanation|how to handle career gap|interview gap question|career break resume,how-to,guides,,,7,6,6,6,8,5,7.0,storytelling,educate,casual,P35,Pat — Working Parent Returnship,completed,yes,yes,2026-04-27,Returnship voice. Names the awkward question and answers it.
R010,The jobs least at risk from AI automation through 2030,what-jobs-are-safe-from-ai-automation-2026,what jobs are safe from ai automation 2026,ai-proof careers|jobs ai cannot replace|ai automation career risk|safe jobs 2030,trend,trends,,,9,8,8,10,9,5,8.5,analytical,authority,professional,P10,Jordan — Corporate Defector,completed,yes,yes,2026-04-27,Lead-tier. Frameworks-first treatment — task exposure × judgment density 2x2.
